Fiyat,Yıl,Kilometre,İlan Tarihi,Ortalama Kasko,Ortalama Trafik Sigortası,Üretim Yılı (İlk/Son),Silindir Sayısı,Koltuk Sayısı,Bagaj Hacmi,Yakıt Deposu,Seri,Model,Vites Tipi,Sınıfı,is_Nissan,Kimden_Sahibinden,Kimden_Yetkili Bayiden,Yakıt Tipi_Dizel,Yakıt Tipi_Elektrik,Yakıt Tipi_Hibrit,Yakıt Tipi_LPG & Benzin,Kasa Tipi_Coupe,Kasa Tipi_Crossover,Kasa Tipi_Hard top,Kasa Tipi_Panelvan,Kasa Tipi_Pick-Up,Kasa Tipi_SUV,Çekiş_AWD (Elektronik),Çekiş_Arkadan İtiş,Çekiş_Önden Çekiş,Renk_Bej,Renk_Beyaz,Renk_Bordo,Renk_Diğer,Renk_Füme,Renk_Gri,Renk_Gri (Gümüş),Renk_Gri (metalik),Renk_Gri (titanyum),Renk_Kahverengi,Renk_Kırmızı,Renk_Lacivert,Renk_Mavi,Renk_Mavi (metalik),Renk_Mor,Renk_Sarı,Renk_Siyah,Renk_Turuncu,Renk_Yeşil,Renk_Yeşil (metalik),Renk_Şampanya,total_painted_parts,total_changed_parts,is_fully_original,paint_damage_score,sağ_arka_çamurluk_durumu,sol_arka_çamurluk_durumu,sağ_ön_çamurluk_durumu,sol_ön_çamurluk_durumu,sağ_arka_kapı_durumu,sol_arka_kapı_durumu,sağ_ön_kapı_durumu,sol_ön_kapı_durumu,arka_kaput_durumu,motor_kaputu_durumu,ön_tampon_durumu,arka_tampon_durumu,tavan_durumu,Motor Hacmi,Motor Gücü,Ort. Yakıt Tüketimi,Şehir İçi Yakıt Tüketimi,Şehir Dışı Yakıt Tüketimi,Tork,Maksimum Güç,Minimum Güç,Hızlanma (0-100),Maksimum Hız,Uzunluk,Genişlik,Yükseklik,Ağırlık,Boş Ağırlığı,Aks Aralığı,Jant Boyutu,log_Fiyat
1220000,2017,199000,0.749641624642229,9.736724334658026,9.61400385813772,2016.5,4,5,6.192362489474872,62.0,1899022.597826087,1357053.5714285714,0,1669651.0332640333,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1591.0,4.890349128221754,6.7,8.6,5.6,160.0,6300.0,4850.0,11.5,182.0,8.406485069431817,1850.0,1660.0,7.591357046698551,1454.0,7.890208213109961,17,14.014362236381235
1279000,2016,99000,0.7736314715194395,9.736724334658026,9.61400385813772,2016.5,4,5,6.192362489474872,62.0,1899022.597826087,1357053.5714285714,0,1669651.0332640333,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0986122886681096,0.0,0,1.0986122886681096,0,0,0,0,2,0,2,0,0,0,0,0,0,1591.0,4.890349128221754,6.7,8.6,5.6,160.0,6300.0,4850.0,11.5,182.0,8.406485069431817,1850.0,1660.0,7.591357046698551,1454.0,7.890208213109961,17,14.061589862421503
1450000,2016,165000,0.4227987021603712,9.704944008049909,9.387771285586732,2016.1409932890201,4,5,6.172605943525222,57.24201019215252,1899022.597826087,1558514.1509433961,2,1669651.0332640333,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500.5,4.9344739331306915,7.4,9.8,6.0,160.0,6300.0,4850.0,12.1,170.0,8.406485069431817,1850.0,1660.0,7.603897968521881,1480.0,7.890208213109961,19,14.187074804051692
1219750,2016,143000,0.76458462057195,9.736724334658026,9.61400385813772,2016.5,4,5,6.192362489474872,62.0,1899022.597826087,1357053.5714285714,0,1669651.0332640333,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1591.0,4.890349128221754,6.7,8.6,5.6,160.0,6300.0,4850.0,11.5,182.0,8.406485069431817,1850.0,1660.0,7.591357046698551,1454.0,7.890208213109961,17,14.014157297517878
1859000,2020,100000,0.4581535426646055,9.716977354895862,9.407626826317033,2019.866367909769,4,5,6.209692513797921,53.97874580973121,1899022.597826087,1845166.6666666667,2,1669651.0332640333,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500.5,4.9344739331306915,4.8,4.9,4.7,320.0,4000.0,2000.0,11.8,180.0,8.407601514786142,1850.0,1660.0,7.653969180478774,1582.0,7.890208213109961,18,14.435549804627051
2175000,2021,110000,0.4795861078363042,9.767357729507218,9.399498866545908,2020.8184622057245,4,5,6.2532244462293045,54.560936879580595,1899022.597826087,2330905.1301369863,2,1669651.0332640333,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500.5,4.9344739331306915,6.3,6.8,5.5,320.0,4000.0,2000.0,11.6,180.0,8.412054873292933,1865.0,1650.0,7.716460800176355,1635.0,7.893945138235959,19,14.59253968227493
1839000,2018,128000,0.42220307910744914,9.760828918798548,9.34583234141334,2019.5,4,5,6.2422232654551655,62.0,1899022.597826087,2330905.1301369863,1,1669651.0332640333,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6094379124341003,0.0,0,1.6094379124341003,2,2,0,0,2,2,0,0,0,0,0,0,0,1598.0,4.919980925828125,5.1,5.1,5.2,320.0,4000.0,2000.0,11.8,180.0,8.407601514786142,1850.0,1660.0,7.697575346802343,1676.0,7.890208213109961,19,14.4247330473601
2199000,2022,52000,0.4871360867042789,9.73109210874085,9.421822973368917,2021.7361440561303,4,5,6.237968409012846,52.556846455151344,1899022.597826087,2330905.1301369863,2,1669651.0332640333,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.791759469228055,0.0,0,1.791759469228055,2,0,0,2,2,0,0,0,2,2,0,0,0,1500.5,4.9344739331306915,6.3,6.8,5.5,320.0,4000.0,2000.0,11.6,180.0,8.412054873292933,1865.0,1650.0,7.716460800176355,1635.0,7.893945138235959,19,14.603513724288955
2237000,2021,78000,0.4873331056371928,9.754181404785234,9.411422325943734,2020.817005336165,4,5,6.248930975933876,54.13264555654723,1899022.597826087,1992374.5860655739,2,1669651.0332640333,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500.5,4.9344739331306915,5.7,5.8,5.1,320.0,4000.0,2000.0,11.4,180.0,8.412054873292933,1865.0,1650.0,7.689828668736484,1576.0,7.893945138235959,19,14.620646687499436
2325000,2023,56150,0.41687439928860126,9.713657880251851,9.366489054466115,2022.5,4,5,6.395261598115449,54.0,1899022.597826087,1992374.5860655739,1,1669651.0332640333,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1598.0,4.919980925828125,5.7,5.8,5.1,320.0,4000.0,2000.0,11.4,180.0,8.412054873292933,1865.0,1650.0,7.689828668736484,1576.0,7.893945138235959,19,14.659231027111028
